pairs,datetime,orderbook,price,amounts
LTCEUR,"2022-03-02, 11:02:55",ask,110.82,0.1
LTCEUR,"2022-03-02, 11:02:55",ask,110.96,0.23
LTCEUR,"2022-03-02, 11:02:55",ask,111.0,0.65
LTCEUR,"2022-03-02, 11:02:55",ask,111.11,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,111.12,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,111.22,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,111.23,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,111.38,0.1
LTCEUR,"2022-03-02, 11:02:55",ask,111.51,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,111.52,0.23
LTCEUR,"2022-03-02, 11:02:55",ask,111.65,0.6
LTCEUR,"2022-03-02, 11:02:55",ask,111.66,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,111.89,0.3
LTCEUR,"2022-03-02, 11:02:55",ask,112.12,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,112.28,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,112.36,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,112.39,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,112.4,0.5
LTCEUR,"2022-03-02, 11:02:55",ask,112.48,0.25
LTCEUR,"2022-03-02, 11:02:55",ask,112.52,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,112.56,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,112.67,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,112.92,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,112.95,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,113.0,0.6
LTCEUR,"2022-03-02, 11:02:55",ask,113.01,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,113.07,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,113.46,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,113.47,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,113.56,0.16
LTCEUR,"2022-03-02, 11:02:55",ask,113.64,23.34
LTCEUR,"2022-03-02, 11:02:55",ask,113.72,2.54
LTCEUR,"2022-03-02, 11:02:55",ask,113.84,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,113.86,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,113.92,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,114.26,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,114.37,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,114.41,5.59
LTCEUR,"2022-03-02, 11:02:55",ask,114.5,0.46
LTCEUR,"2022-03-02, 11:02:55",ask,114.66,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,114.83,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,115.05,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,115.06,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,115.16,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,115.29,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,115.35,0.31
LTCEUR,"2022-03-02, 11:02:55",ask,115.45,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,115.51,0.26
LTCEUR,"2022-03-02, 11:02:55",ask,115.63,0.38
LTCEUR,"2022-03-02, 11:02:55",ask,115.67,0.1
LTCEUR,"2022-03-02, 11:02:55",ask,115.68,0.16
LTCEUR,"2022-03-02, 11:02:55",ask,115.75,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,115.86,0.3
LTCEUR,"2022-03-02, 11:02:55",ask,116.22,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,116.27,0.28
LTCEUR,"2022-03-02, 11:02:55",ask,116.31,0.21
LTCEUR,"2022-03-02, 11:02:55",ask,116.42,3.65
LTCEUR,"2022-03-02, 11:02:55",ask,116.51,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,116.62,2.58
LTCEUR,"2022-03-02, 11:02:55",ask,116.67,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,116.68,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,116.89,0.21
