fund_id,open,high,low,close,average,weighted_average,base_volume,traded_volume,interval_starts_at,interval_ends_at
BTCEUR,33379.31,33499.0,33179.0,33499.0,33366.51047,33491.3064,35202.71212,1.0511,2022-01-31T13:00:00.000Z,2022-01-31T14:00:00.000Z
BTCEUR,33450.0,33650.0,33429.0,33650.0,33527.9947,33519.86658,46019.4248,1.3729,2022-01-31T14:00:00.000Z,2022-01-31T15:00:00.000Z
BTCEUR,33667.88,33950.76,33667.88,33829.0,33852.10888,33904.5742,184946.06178,5.4549,2022-01-31T15:00:00.000Z,2022-01-31T16:00:00.000Z
BTCEUR,33829.0,34350.0,33825.13,34350.0,34050.07345,34130.72751,39240.09735,1.1497,2022-01-31T16:00:00.000Z,2022-01-31T17:00:00.000Z
BTCEUR,34350.0,34535.72,34204.0,34475.0,34382.90034,34395.66356,100149.85358,2.9117,2022-01-31T17:00:00.000Z,2022-01-31T18:00:00.000Z
BTCEUR,34475.0,34478.71,34329.0,34462.44,34409.85366,34455.24214,3945.1252,0.1145,2022-01-31T18:00:00.000Z,2022-01-31T19:00:00.000Z
BTCEUR,34462.44,34571.11,34316.73,34316.73,34442.22624,34484.29558,62416.57495,1.81,2022-01-31T19:00:00.000Z,2022-01-31T20:00:00.000Z
BTCEUR,34316.73,34471.94,34203.8,34471.94,34340.93359,34331.74811,42282.98093,1.2316,2022-01-31T20:00:00.000Z,2022-01-31T21:00:00.000Z
BTCEUR,34379.0,34421.74,34304.0,34374.39,34360.08333,34347.28928,7745.31371,0.2255,2022-01-31T21:00:00.000Z,2022-01-31T22:00:00.000Z
BTCEUR,34374.39,34589.57,34343.54,34379.0,34453.33388,34530.06631,41004.45374,1.1875,2022-01-31T22:00:00.000Z,2022-01-31T23:00:00.000Z
BTCEUR,34363.89,34420.81,34329.0,34400.0,34367.39833,34369.79959,254.3365,0.0074,2022-01-31T23:00:00.000Z,2022-02-01T00:00:00.000Z
BTCEUR,34400.0,34501.13,34284.05,34284.05,34361.89527,34455.19441,14784.7239,0.4291,2022-02-01T00:00:00.000Z,2022-02-01T01:00:00.000Z
BTCEUR,34284.05,34380.81,34189.29,34189.29,34275.597,34258.57565,544.71133,0.0159,2022-02-01T01:00:00.000Z,2022-02-01T02:00:00.000Z
BTCEUR,34189.29,34407.12,34189.29,34407.12,34330.16857,34278.99907,3613.00648,0.1054,2022-02-01T02:00:00.000Z,2022-02-01T03:00:00.000Z
BTCEUR,34414.51,34477.94,34386.11,34467.3,34442.12988,34451.6633,1312.60833,0.0381,2022-02-01T03:00:00.000Z,2022-02-01T04:00:00.000Z
BTCEUR,34467.3,34529.15,34423.12,34462.97,34475.58944,34476.99282,975.69887,0.0283,2022-02-01T04:00:00.000Z,2022-02-01T05:00:00.000Z
BTCEUR,34462.97,34509.58,34401.01,34401.01,34454.2727,34458.31644,1347.32014,0.0391,2022-02-01T05:00:00.000Z,2022-02-01T06:00:00.000Z
BTCEUR,34379.0,34379.0,34204.0,34267.32,34273.27549,34277.92215,1624.77343,0.0474,2022-02-01T06:00:00.000Z,2022-02-01T07:00:00.000Z
BTCEUR,34249.4,34365.98,34249.4,34286.51,34305.55135,34306.79755,4377.54735,0.1276,2022-02-01T07:00:00.000Z,2022-02-01T08:00:00.000Z
BTCEUR,34286.51,34464.58,34254.0,34455.58,34385.7149,34411.32727,105395.01318,3.0628,2022-02-01T08:00:00.000Z,2022-02-01T09:00:00.000Z
BTCEUR,34455.58,34850.0,34129.0,34131.09,34425.55643,34515.16915,59100.32407,1.7123,2022-02-01T09:00:00.000Z,2022-02-01T10:00:00.000Z
BTCEUR,34104.0,34175.0,33915.54,34116.91,34069.39723,34075.29271,11847.97923,0.3477,2022-02-01T10:00:00.000Z,2022-02-01T11:00:00.000Z
BTCEUR,34116.91,34313.74,34116.91,34256.1,34204.70333,34242.6963,36167.1358,1.0562,2022-02-01T11:00:00.000Z,2022-02-01T12:00:00.000Z
BTCEUR,34256.1,34547.09,34256.1,34450.41,34419.03044,34338.30184,13594.53361,0.3959,2022-02-01T12:00:00.000Z,2022-02-01T13:00:00.000Z
BTCEUR,34450.41,34677.32,34298.88,34634.98,34530.90563,34523.47588,103194.1217,2.9891,2022-02-01T13:00:00.000Z,2022-02-01T14:00:00.000Z
BTCEUR,34634.98,34736.24,34231.49,34285.22,34489.90746,34650.96464,31584.35422,0.9115,2022-02-01T14:00:00.000Z,2022-02-01T15:00:00.000Z
BTCEUR,34278.6,34453.99,34070.87,34453.99,34261.57699,34353.33565,50423.82602,1.4678,2022-02-01T15:00:00.000Z,2022-02-01T16:00:00.000Z
BTCEUR,34473.37,34972.97,34473.37,34854.0,34654.07661,34712.99254,90375.27601,2.6035,2022-02-01T16:00:00.000Z,2022-02-01T17:00:00.000Z
BTCEUR,34829.0,34929.09,34479.0,34557.97,34625.88092,34575.0069,24786.82239,0.7169,2022-02-01T17:00:00.000Z,2022-02-01T18:00:00.000Z
BTCEUR,34557.97,34625.6,34304.0,34304.0,34517.12924,34506.38707,3681.83147,0.1067,2022-02-01T18:00:00.000Z,2022-02-01T19:00:00.000Z
BTCEUR,34327.53,34331.97,34180.67,34209.91,34238.9439,34213.48341,1980.96064,0.0579,2022-02-01T19:00:00.000Z,2022-02-01T20:00:00.000Z
BTCEUR,34193.93,34453.99,34193.93,34329.0,34346.12071,34336.93251,4508.43919,0.1313,2022-02-01T20:00:00.000Z,2022-02-01T21:00:00.000Z
BTCEUR,34306.65,34532.7,34304.0,34454.0,34449.28469,34496.44253,1635.13136,0.0474,2022-02-01T21:00:00.000Z,2022-02-01T22:00:00.000Z
BTCEUR,34525.0,34539.78,34354.0,34385.07,34423.53857,34415.17293,375.12537,0.0109,2022-02-01T22:00:00.000Z,2022-02-01T23:00:00.000Z
BTCEUR,34385.07,34567.93,34361.3,34479.0,34468.84952,34449.38314,6920.88103,0.2009,2022-02-01T23:00:00.000Z,2022-02-02T00:00:00.000Z
BTCEUR,34479.0,34500.0,34241.87,34325.0,34354.33726,34336.95039,611.19769,0.0178,2022-02-02T00:00:00.000Z,2022-02-02T01:00:00.000Z
BTCEUR,34337.05,34337.05,34113.83,34113.83,34245.45035,34160.09808,1503.0443,0.044,2022-02-02T01:00:00.000Z,2022-02-02T02:00:00.000Z
BTCEUR,34113.83,34325.83,34113.83,34325.83,34259.64675,34261.70499,157.60384,0.0046,2022-02-02T02:00:00.000Z,2022-02-02T03:00:00.000Z
BTCEUR,34347.72,34425.66,34347.72,34354.0,34387.4148,34393.95381,450.56077,0.0131,2022-02-02T03:00:00.000Z,2022-02-02T04:00:00.000Z
BTCEUR,34329.0,34329.0,34216.67,34225.56,34251.26666,34245.8398,1383.53188,0.0404,2022-02-02T04:00:00.000Z,2022-02-02T05:00:00.000Z
